time,V_C,I_L,V_IN
0.0,0.0,0.0,-2.132698391566809
5e-07,-0.019816449530576777,-0.023857359659193077,-10.606966790097164
1e-06,-0.16206976115479843,-0.13581209373521202,-20.214918339248573
1.5e-06,-0.5966816159676451,-0.3382175764700164,-29.923465617834214
2e-06,-1.4610135222498997,-0.6089517170336343,-37.3026519845973
2.4999999999999998e-06,-2.8988359294086123,-0.9483145189144642,-41.195114823992576
3e-06,-4.98031776904544,-1.2972159601037916,-45.949982303476105
3.5e-06,-7.70223763172377,-1.6401278379146256,-48.11479298916502
4e-06,-11.053630221781525,-1.9791057423165204,-49.653662404123594
4.5e-06,-15.01620585013196,-2.2999932792087097,-52.487052633917045
4.9999999999999996e-06,-19.554924956335736,-2.5966705123407774,-54.080732928224634
5.5e-06,-24.594534163937034,-2.8409686437306023,-54.85199532578989
6e-06,-30.035188292262006,-3.0215247140667776,-56.328804607245395
6.5e-06,-35.76792796186973,-3.1617871189862776,-57.66536328076573
7e-06,-41.715310256860974,-3.256114521592681,-59.212456909722206
7.499999999999999e-06,-47.79725579810837,-3.300418226446007,-59.83856238885227
8e-06,-53.90784290595671,-3.2848439022416214,-57.79900391829297
8.5e-06,-59.91934281380348,-3.18706414534433,-52.81069370545595
9e-06,-65.6668810174307,-2.993065757655972,-48.863847351422365
9.499999999999999e-06,-70.96177092980172,-2.711247672782826,-42.47770818866432
9.999999999999999e-06,-75.64593649484999,-2.3488320613385847,-39.800963131380854
1.05e-05,-79.59411560606803,-1.9115506552783903,-38.25469972659883
1.1e-05,-82.69780327705841,-1.429753581175932,-35.43843741971125
1.15e-05,-84.87647643512118,-0.9178167964095263,-32.292206296703014
1.2e-05,-86.07605809066628,-0.3797809603602693,-30.66909376049322
1.2499999999999999e-05,-86.26245788327857,0.17744443705756968,-30.11213255756584
1.3e-05,-85.41776722002926,0.7314845099199676,-30.90806107190728
1.35e-05,-83.58501698070378,1.2449532707540387,-32.435208367226636
1.4e-05,-80.84259348444438,1.7046803914034423,-31.93312058332944
1.45e-05,-77.28800545142418,2.1235714816415836,-30.54858962660468
1.4999999999999999e-05,-72.99215212721133,2.5036512859651707,-29.96608344838633
1.55e-05,-68.03411429730102,2.84664937626211,-27.63605374318928
1.6e-05,-62.478474613919175,3.1553163516102987,-23.97394770411136
1.6499999999999998e-05,-56.38354958922581,3.418093703684785,-18.535312461493156
1.7e-05,-49.826643744678776,3.659177973705245,-12.50164158686795
1.75e-05,-42.83779534649551,3.8905708594030743,-8.936461920822955
1.8e-05,-35.44288063378946,4.084522412060244,-6.985750685145579
1.85e-05,-27.75790458898495,4.214137656981397,-3.6838930669242953
1.8999999999999998e-05,-19.89470092146172,4.272996373122147,0.7925733123356378
1.95e-05,-11.95596181225698,4.278830663406537,4.963455480854469
1.9999999999999998e-05,-4.03313584321474,4.26977907267792,9.440959850098773
2.05e-05,3.84522075476187,4.2329479405892005,15.61717012277397
2.1e-05,11.654845459839638,4.19412489387123,20.559356791030815
2.1499999999999997e-05,19.356622112904976,4.120613321964604,25.43063185717099
2.2e-05,26.896386575304135,4.027896043645867,29.22930801066822
2.2499999999999998e-05,34.21990718427471,3.890395990571264,32.384920553406054
2.3e-05,41.24570604406539,3.6735103507685753,37.52622846841777
2.35e-05,47.859741380723854,3.461549353458256,44.433161225411055
2.4e-05,54.09564675975111,3.2788483419235472,52.92652362746977
2.45e-05,60.06820695804331,3.1738616430679287,63.06155671251288
2.4999999999999998e-05,65.8618306606664,3.0871884434860193,72.5099450730565
2.55e-05,71.48624071550779,2.9993496554444192,81.5118617371748
2.6e-05,77.03044705417123,2.994250007550788,88.70681325278753
2.65e-05,82.58357894700077,3.000899896387335,94.88032927401466
2.7e-05,88.13351165225647,2.9962368056924116,99.64314395983021
2.7499999999999998e-05,93.69662156709701,3.0108494216731176,103.67530740317122
2.8e-05,99.26516164657305,2.9980120138699555,107.44044856561784
2.8499999999999998e-05,104.78351150086664,2.9622462157443423,109.84869303829582
2.9e-05,110.23141836434684,2.9155572847247315,114.71146083655248
2.95e-05,115.57595888995036,2.8489801557269563,116.6158352220765
2.9999999999999997e-05,120.75954586715227,2.7437285669918037,115.26728970820231
3.05e-05,125.69192754450536,2.579288556485005,115.70941299742272
3.1e-05,130.2743288652496,2.3733060565806627,118.02230628404635
3.15e-05,134.46384913598195,2.1477663777119957,121.40917863794458
3.2e-05,138.23686894987617,1.9181533938017998,125.28628961376478
3.25e-05,141.5868357766544,1.6939826328444125,127.7761524622642
3.2999999999999996e-05,144.52434982913198,1.4784851941524413,127.43990166605423
3.35e-05,147.05990227020794,1.251822507638554,125.83486772885605
3.4e-05,149.14887235756967,0.9989481189405379,122.96115619354788
3.45e-05,150.73726662859315,0.7160716065700777,121.43851377043534
3.5e-05,151.7751067157249,0.4014372069487742,119.23356209655284
3.5499999999999996e-05,152.1950365432168,0.044552507010193976,114.76978970673946
3.6e-05,151.93013087452167,-0.32816960273004564,109.47865060321536
3.65e-05,150.9559629366839,-0.7302857327812153,104.74243744939672
3.7e-05,149.20017138571527,-1.1618696966651534,98.72437063654681
3.75e-05,146.62903801352257,-1.6204213281991906,91.18778534646479
3.7999999999999995e-05,143.17010037432945,-2.0946863297812337,84.44983608824086
3.85e-05,138.83433462971567,-2.5979735576351497,78.56366113544019
3.9e-05,133.5450786940639,-3.0994968907721114,71.9136894982434
3.95e-05,127.3480653342565,-3.608466873866663,64.71786779244485
3.9999999999999996e-05,120.19206727895285,-4.113508279367048,57.65722363029768
4.0499999999999995e-05,112.10565175952594,-4.626186764437248,47.662070556806064
4.1e-05,102.9706626439931,-5.367826423129825,34.812433611123815
4.15e-05,90.54689826109184,-8.264899819605152,21.280890121957906
4.2e-05,72.39480067450552,-10.98794639751652,8.893851876106579
4.2499999999999996e-05,50.63744754958343,-12.328952887818229,-0.4921217358933362
4.2999999999999995e-05,27.47145710454646,-12.501151103818497,-4.91964671811067
4.35e-05,5.304537240018897,-11.172930083909758,-6.294035810392627
4.4e-05,-13.208768894188605,-8.701202889563872,-7.358464892259958
4.45e-05,-26.71501336655678,-5.944800958629112,-8.890044642411407
4.4999999999999996e-05,-36.459280444832324,-4.855217724762125,-12.244438838384875
4.5499999999999995e-05,-44.98518234696784,-4.364580781769886,-15.756696628992565
4.6e-05,-52.62122708663274,-3.8766753011300508,-19.128343159109534
4.65e-05,-59.33746102774185,-3.373726873091423,-21.851160521953673
4.7e-05,-65.09367582788987,-2.845676037487403,-25.34581808078906
4.7499999999999996e-05,-69.87854129711806,-2.3189878617531368,-26.743790965398496
4.8e-05,-73.6861690693071,-1.7884688511349933,-24.453703595882807
4.85e-05,-76.48460947742356,-1.226561643977278,-21.604733448604986
4.9e-05,-78.20238680110856,-0.6241227097019716,-17.898347606876445
4.95e-05,-78.75883189774008,0.025679870168819896,-13.209673926412481
4.9999999999999996e-05,-78.10508646167268,0.6806187235029303,-9.469201423795377
5.05e-05,-76.24915703742266,1.3213594211087132,-5.931196137343315
5.1e-05,-73.20278592621065,1.9661076640631556,-2.6659164137183176
5.15e-05,-68.97491052056652,2.6025018591847067,-0.04714639941771684
5.2e-05,-63.59423761267754,3.195289391108063,0.6776929627347307
5.2499999999999995e-05,-57.17780947842067,3.7205896328732377,1.23142186828022
5.3e-05,-49.85620161907137,4.184274663556468,3.513694809209899
5.35e-05,-41.711410647617825,4.6123461200494225,9.205352461342036
