uBenchMark,yBenchMark,yBenchMarkClean,fs
-0.11605,0.0024835707650561634,0.0,51200
-0.014077,-0.0030367035089695505,-0.002345382,51200
0.0,0.007696016096901759,0.0044575734,51200
-0.0096136,0.0038866857347358546,-0.0037284635,51200
-0.0024034,-0.0014085414431578957,-0.00023777457,51200
-0.0082402,-0.0033698924501446197,-0.0021992077,51200
-0.0030901,0.005618277001227634,-0.002277787,51200
-0.0075535,0.000559098859697535,-0.0032780748,51200
-0.0037768,-0.00728477343672456,-0.0049374015,51200
-0.0075535,-0.003327495833721416,-0.006040296,51200
-0.0041201,-0.010335595154922106,-0.008018507,51200
-0.0072102,-0.011270090542219571,-0.008941442,51200
-0.0048068,-0.00932948379399955,-0.010539295,51200
-0.0065235,-0.02054064264391563,-0.010974241,51200
-0.0048068,-0.02049649143467038,-0.011871902,51200
-0.0061802,-0.014621710578257476,-0.011810273,51200
-0.0048068,-0.01710780772637505,-0.012043652,51200
-0.0065235,-0.01000304099131383,-0.011574278,51200
-0.0051501,-0.015912694051331184,-0.011372574,51200
-0.0058368,-0.017696060949534676,-0.010634542,51200
-0.0051501,-0.002884420647820532,-0.0102126645,51200
-0.0058368,-0.010554008449895238,-0.009425127,51200
-0.0051501,-0.008552623644130971,-0.008890265,51200
-0.0058368,-0.015268938225719746,-0.008145197,51200
-0.0054935,-0.010359366888114062,-0.0076374533,51200
-0.0058368,-0.006434332468556821,-0.0069889454,51200
-0.0054935,-0.01230583732590875,-0.0065508694,51200
-0.0058368,-0.004163389208299726,-0.0060418793,51200
-0.0054935,-0.008704984944678787,-0.0057017915,51200
-0.0054935,-0.006776936254242587,-0.0053184675,51200
-0.0051501,-0.008089049045592794,-0.005080516,51200
-0.0054935,0.004436329269735308,-0.0048250617,51200
-0.0054935,-0.00475173366586234,-0.0046842475,51200
-0.0054935,-0.009809474284396706,-0.0045209196,51200
-0.0051501,-0.0003386997885834525,-0.0044514243,51200
-0.0054935,-0.01048448350065715,-0.0043802653,51200
-0.0054935,-0.0033382117866184403,-0.0043825298,51200
-0.0054935,-0.014148268724107073,-0.004349918,51200
-0.0054935,-0.011022853715138295,-0.0043819235,51200
-0.0051501,-0.0034170432832231422,-0.0044013495,51200
-0.0051501,-0.0007460403602229716,-0.0044383733,51200
-0.0058368,-0.003637753004111984,-0.0044945944,51200
-0.0054935,-0.005124629930006417,-0.0045463885,51200
-0.0054935,-0.006068679184257908,-0.0045631607,51200
-0.0054935,-0.012040896335436181,-0.0046482864,51200
-0.0054935,-0.0082789600515625,-0.004679739,51200
-0.0054935,-0.007040963108350898,-0.0047377693,51200
-0.0058368,0.0005100571893678942,-0.004775554,51200
-0.0058368,-0.003108561369585805,-0.004826653,51200
-0.0058368,-0.01366351056939189,-0.00484831,51200
-0.0054935,-0.0032763750645000145,-0.004896795,51200
-0.0058368,-0.006844524527733657,-0.004919113,51200
-0.0058368,-0.008360856507505517,-0.0049762465,51200
-0.0058368,-0.0019195842832441241,-0.0049779657,51200
-0.0058368,0.0001318119830821243,-0.0050231856,51200
-0.0058368,-0.0003866971761232038,-0.005043098,51200
-0.0058368,-0.0092728284845028,-0.005076741,51200
-0.0058368,-0.0066477458945003185,-0.005101684,51200
-0.0058368,-0.0034739943171862436,-0.0051303115,51200
-0.0058368,-0.0002780030286373856,-0.0051557287,51200
-0.0058368,-0.00757746500967914,-0.005181594,51200
-0.0058368,-0.006133906581648535,-0.0052056117,51200
-0.0058368,-0.010760345183984495,-0.0052286703,51200
-0.0058368,-0.011230894748220508,-0.0052498616,51200
-0.0058368,-0.0012066561794623438,-0.0052692853,51200
-0.0058368,0.001494648596548697,-0.0052865515,51200
-0.0058368,-0.005661690511238432,-0.00530164,51200
-0.0058368,-0.0002967778396485944,-0.0053144423,51200
-0.0054935,-0.0035168336464150044,-0.005325014,51200
-0.0058368,-0.00855208589699184,-0.005326487,51200
-0.0058368,-0.0035470580838425606,-0.005354036,51200
-0.0058368,0.0023586218629771238,-0.005331561,51200
-0.0058368,-0.0055280379791772674,-0.005348908,51200
-0.0058368,0.002481992975360524,-0.0053412253,51200
-0.0058368,-0.018443563424425165,-0.005344838,51200
-0.0058368,-0.0012293923916387329,-0.005338905,51200
-0.0058368,-0.004900324727297265,-0.00533556,51200
-0.0058368,-0.00682407570015,-0.005329039,51200
-0.0058368,-0.004864738864969059,-0.0053235427,51200
-0.0058368,-0.01525549717102788,-0.0053176526,51200
-0.0058368,-0.006411188717597041,-0.0053128293,51200
-0.0054935,-0.0035231406618452025,-0.0053087035,51200
-0.0058368,0.0020907160233682633,-0.005298754,51200
-0.0054935,-0.007909160151584188,-0.005317809,51200
-0.0058368,-0.009325136411296498,-0.0052826684,51200
-0.0058368,-0.007826597072106357,-0.005317812,51200
-0.0058368,-0.0007047702579065793,-0.005281781,51200
-0.0058368,-0.0036563993611931165,-0.005300155,51200
-0.0058368,-0.007935485278607494,-0.0052866843,51200
-0.0054935,-0.0027229426902209736,-0.00528928,51200
-0.0054935,-0.004788512713711639,-0.0052739005,51200
